AdditionBudget,RemovalBudget,PerturbationStrategy,PerturbedTestFScores,TruePositive,FalseNegative,FalsePositive,DistanceMetric,DegreeMetric,PerturbedHomophily
0.4,0.30000000000000004,addremove,"[0.2888889, 0.47311828, 0.58428574, 0.4879121, 0.6666667, 0.5870647, 0.5146560668945312]","[26, 88, 409, 111, 205, 118]","[75, 163, 13, 210, 165, 129]","[53, 33, 569, 23, 40, 37]",8.727958557707858,3.617869762746088,0.49903241412675375
0.4,0.30000000000000004,addremove,"[0.24858756, 0.4099723, 0.575089, 0.43891403, 0.67721516, 0.5700246, 0.4866337776184082]","[22, 74, 404, 97, 214, 116]","[79, 177, 18, 224, 156, 131]","[54, 36, 579, 24, 48, 44]",8.761842286942935,3.5944055944055946,0.49225931301403
0.4,0.30000000000000004,addremove,"[0.28901735, 0.45303866, 0.57347673, 0.45190156, 0.6666666, 0.58628845, 0.5033982396125793]","[25, 82, 400, 101, 208, 124]","[76, 169, 22, 220, 162, 123]","[47, 29, 573, 25, 46, 52]",8.80019208606212,3.5685884691848906,0.4910498306724722
0.4,0.30000000000000004,addremove,"[0.20879121, 0.460274, 0.57636887, 0.47334749, 0.6559486, 0.5527638, 0.48791563510894775]","[19, 84, 400, 111, 204, 110]","[82, 167, 22, 210, 166, 137]","[62, 30, 566, 37, 48, 41]",8.781183651569435,3.5743411238189955,0.49250120948234155
0.4,0.30000000000000004,addremove,"[0.24852072, 0.43360433, 0.5687943, 0.47288504, 0.65224624, 0.5845411, 0.493431955575943]","[21, 80, 401, 109, 196, 121]","[80, 171, 21, 212, 174, 126]","[47, 38, 587, 31, 35, 46]",8.713210013766298,3.6007049345417927,0.4987905176584422
0.4,0.30000000000000004,addremove,"[0.2122905, 0.489011, 0.5710267, 0.45274726, 0.6699347, 0.5816327, 0.49610719084739685]","[19, 89, 406, 103, 205, 114]","[82, 162, 16, 218, 165, 133]","[59, 24, 594, 31, 37, 31]",8.796334754872618,3.6196969696969696,0.5074987905176584
0.4,0.30000000000000004,addremove,"[0.2681564, 0.46111113, 0.57000715, 0.46982765, 0.6891026, 0.5692308, 0.5045725703239441]","[24, 83, 401, 109, 215, 111]","[77, 168, 21, 212, 155, 136]","[54, 26, 584, 34, 39, 32]",8.739694480342399,3.579183266932271,0.4910498306724722
0.4,0.30000000000000004,addremove,"[0.26086953, 0.4693333, 0.56819785, 0.47311825, 0.66341466, 0.5903308, 0.5042107701301575]","[21, 88, 402, 110, 204, 116]","[80, 163, 20, 211, 166, 131]","[39, 36, 591, 34, 41, 30]",8.772594635181255,3.6057546693589098,0.49637155297532654
0.4,0.30000000000000004,addremove,"[0.27710843, 0.44321328, 0.56635916, 0.4833703, 0.6815287, 0.6210269, 0.5121011137962341]","[23, 80, 399, 109, 214, 127]","[78, 171, 23, 212, 156, 120]","[42, 30, 588, 21, 44, 35]",8.712706703768113,3.5999000999001,0.5026608611514272
0.4,0.4,addremove,"[0.23076923, 0.4585635, 0.5505226, 0.442953, 0.62458473, 0.5555555, 0.4771580696105957]","[21, 83, 395, 99, 188, 110]","[80, 168, 27, 222, 182, 137]","[60, 28, 618, 27, 44, 39]",8.576158502659247,3.58601883986118,0.46670290839902145
0.4,0.4,addremove,"[0.22988506, 0.45776567, 0.57142854, 0.492569, 0.6413223, 0.545, 0.4896617829799652]","[20, 84, 402, 116, 194, 109]","[81, 167, 20, 205, 176, 138]","[53, 32, 583, 34, 41, 44]",8.490751985479909,3.6189283925888835,0.4675183473770046
0.4,0.4,addremove,"[0.26373628, 0.3931624, 0.5570146, 0.45146725, 0.6534654, 0.592405, 0.4852084815502167]","[24, 69, 403, 100, 198, 117]","[77, 182, 19, 221, 172, 130]","[57, 31, 622, 22, 38, 31]",8.56318250518343,3.597118728266269,0.4604512095678173
0.4,0.4,addremove,"[0.28729284, 0.5, 0.56611866, 0.47368425, 0.6503268, 0.5255102, 0.500488817691803]","[26, 96, 396, 108, 199, 103]","[75, 155, 26, 213, 171, 144]","[54, 37, 581, 27, 43, 42]",8.480105911366083,3.5781404549950544,0.46262571350910575
0.4,0.4,addremove,"[0.21468927, 0.47777775, 0.5612317, 0.4439462, 0.61943984, 0.55308646, 0.4783618450164795]","[19, 86, 401, 99, 188, 112]","[82, 165, 21, 222, 182, 135]","[57, 23, 606, 26, 49, 46]",8.53071753133097,3.5905707196029777,0.4675183473770046
0.4,0.4,addremove,"[0.21468927, 0.5013477, 0.5673959, 0.4598214, 0.65478116, 0.52791876, 0.4876590669155121]","[19, 93, 402, 103, 202, 104]","[82, 158, 20, 218, 168, 143]","[57, 27, 593, 24, 45, 43]",8.53414748680331,3.5962207856787667,0.4745854851861919
